Name
"PD Dr. med. Tomas Pfeiffer, Singen (Hohentwiel), Chirurg, Arzt"
"Dr. med. Arno W. de Pay, Verchen, Anästhesist, Arzt"
"Dr. med. Sylvia Tschötschel, Borrentin, Allgemeinmedizinerin, Ärztin"
"Dipl. - Med. Monika Zobel, Borrentin, Fachärztin für Innere Medizin, Ärztin"
"Dr. med. Martina Schettler, Plön, Fachärztin für Innere Medizin, Ärztin"
"Dr. med. Walter Voß, Plön, Frauenarzt, Arzt"
" Kai Hochmann, Plön, Allgemeinmediziner, Arzt"
"Dr. med. Angelika Knispel-Wachsmuth, Plön, Psychiatrie u.Psychotherapie, Ärztin"
"Dr. med. Susanne Schumacher-Roestel, Plön, Augenärztin, Ärztin"
"Dr. med. Christiane Rothenhöfer, Wäschenbeuren, Allgemeinmedizinerin, Ärztin"
"Dr. med. Gudrun Zapp-Brauer, Malente, Fachärztin für Psychosom. Med.u.Psychotherap., Ärztin"
"Dr. med. Jutta Burmeister, Plön, Frauenärztin, Ärztin"
" Helena Parikka-Olexik, Plön, Frauenärztin, Ärztin"
"Dr. med. Erik Peters, Plön, Kinderarzt, Arzt"
"Dr. med. Günther Busch, Plön, Psychiatrie u.Psychotherapie, Arzt"
"Dr. med. Wolfgang Schütt, Plön, Allgemeinmediziner, Arzt"
"Dr. med. André Mitzlaff, Plön, Orthopäde und Unfallchirurg, Arzt"
" Britta Behrmann, Plön, Neurologin, Ärztin"
"Dr. med. Elli Stenkamp, Plön, Fachärztin für Psychosom. Med.u.Psychotherap., Ärztin"
"Dr. med. Friedrich P. Graf, Plön, Praktischer Arzt, Arzt"
" Aljoscha Marx, Plön, Allgemeinmediziner, Arzt"
"Dr. med. Stefan Mielck, Plön, Facharzt für Innere Medizin, Arzt"
" Robert Schweim-Günther, Plön, Allgemeinmediziner, Arzt"
"Dr. med. Dominik Stehle, Plön, Praktischer Arzt, Arzt"
"Dr. med. Gerold Menne, Plön, Facharzt für Innere Medizin, Arzt"
"Dr. med. Andrea Schneider, Plön, HNO Ärztin, Ärztin"
"Dr. med. Heiko Schulze, Plön, Gefäßchirurg, Arzt"
"Dr. med. Thomas Quack, Plön, Urologe, Arzt"
"Dr. med. Angela Wilder, Bösdorf, Psychiatrie u.Psychotherapie, Ärztin"
"Dr. med. Rainer Ewert, Bösdorf, Psychiatrie u.Psychotherapie, Arzt"
" Aurora Dollenberg, Schladen, Allgemeinmedizinerin, Ärztin"
"Dr. med. Susanne Pawlow-Handt, Wolfenbüttel, Fachärztin für Innere Medizin, Ärztin"
" Birgit Eilers, Schladen, Frauenärztin, Ärztin"
" Britta-Christina Wendenburg, Denkte, Allgemeinmedizinerin, Ärztin"
"Dr. med. Petra Schlag, Malchin, Allgemeinmedizinerin, Ärztin"
" Susanne Dantz, Brackenheim, Allgemeinmedizinerin, Ärztin"
" Anja Gipp, Rhoden, Fachärztin für Psychosom. Med.u.Psychotherap., Ärztin"
"Dr. med. Monika Schaefer-Wenderdel, Wolfenbüttel, Fachärztin für Innere Medizin, Ärztin"
" Egbert-Rüdiger Fiolka, Schladen, Allgemeinmediziner, Arzt"
"Dr. med. Klaus Gipp, Rhoden, Allgemeinmediziner, Arzt"
"Dr. med. Peter Martin, Schladen, Praktischer Arzt, Arzt"
"Dr. med. Hans-Jürgen Wendenburg, Denkte, Allgemeinmediziner, Arzt"
"Dipl. - Med. Manfred Schlöcker, Wolfenbüttel, Facharzt für Innere Medizin, Arzt"
"Dr. med. Burga Beher, Wolfenbüttel, HNO Ärztin, Ärztin"
" Beatrix Greeske, Remlingen, Praktische Ärztin, Ärztin"
" Steffen Blomer, Schladen, Allgemeinmediziner, Arzt"
"Dr. med. Jörn Schewski, Denkte, Facharzt für Innere Medizin, Arzt"
"Dipl. - Med. Manfred Schlöcker, Wolfenbüttel, Facharzt für Innere Medizin, Arzt"
"Dr. med. Torsten Donhauser, Wolfenbüttel, HNO Arzt, Arzt"
" Karla Kühn, Taucha, Allgemeinmedizinerin, Ärztin"
"Dr. med. Holm Fischer, Taucha, Facharzt für Innere Medizin, Arzt"
"Dr. med. Thomas Pirlich, Taucha, HNO Arzt, Arzt"
"Prof. Dr. med. Uwe Paasch, Taucha, Hautarzt, Arzt"
"Dipl. - Med. Gabriele Koch, Taucha, Augenärztin, Ärztin"
"Dr. med. Jörg Glauche, Taucha, Urologe, Arzt"
"Dr. med. Jens Müller, Taucha, Psychiatrie u.Psychotherapie, Arzt"
"Dr. med. Ulrike Hantel, Taucha, Fachärztin für Innere Medizin, Ärztin"
" Katrin Treutler, Taucha, Fachärztin für Innere Medizin, Ärztin"
"Dr. med. Sabine Wieschollek, Leipzig, Allgemeinmedizinerin, Ärztin"
" Elisabeth Rebentrost, Taucha, Allgemeinmedizinerin, Ärztin"
"Dipl. - Med. Heike Pönert, Taucha, Kinderärztin, Ärztin"
"Dipl. - Med. Rocco Kowalski, Taucha, Praktischer Arzt, Arzt"
"Dr. med. Wolfgang Spangenberg, Leipzig, Frauenarzt, Arzt"
"Dr. med. Christoph Eymann, Taucha, Kinderarzt, Arzt"
"Dr. med. Susann Holak, Schladen, Augenärztin, Ärztin"
"Dr. med. Martin Franke, Taucha, Allgemeinmediziner, Arzt"
" Katrin Richter, Taucha, Fachärztin für Innere Medizin, Ärztin"
"Dr. med. Helga Borschberg, Leipzig, Kinderärztin, Ärztin"
"Dr. med. Cathleen Knoth-Zergiebel, Taucha, Allgemeinmedizinerin, Ärztin"
"Dr. med. Mustafa Bacinovic, Rotenburg (Wümme), Facharzt für Innere Medizin, Arzt"
"Dr. med. Torsten Nekarda, Rotenburg (Wümme), Kinderarzt, Arzt"
"Dr. med. Ferdinand Petrat, Rotenburg (Wümme), Chirurg, Arzt"
" Volkhard Schwinge, Kirchwalsede, Allgemeinmediziner, Arzt"
" Sylvia Müller, Taucha, Frauenärztin, Ärztin"
" Hani El-Gamla, Taucha, Chirurg, Arzt"
" Stefanie Leßmann, Schladen, Allgemeinmedizinerin, Ärztin"
" Abdullah Wahdat, Wolfenbüttel, Allgemeinmediziner, Arzt"
" Svetlana Grozdanova, Bad Orb, Fachärztin für Innere Medizin, Ärztin"
"Dr. med. Nikolai Holak, Schladen, Augenarzt, Arzt"
" Olaf-Martin Harpain, Kissenbrück, Allgemeinmediziner, Arzt"
"Dipl. - Med. Kerstin Lissok, Hornburg, Allgemeinmedizinerin, Ärztin"
"Dr. med. Iris Kamali, Börßum, Allgemeinmedizinerin, Ärztin"
" Hedda Ahlwes, Börßum, Praktische Ärztin, Ärztin"
"Dr. med. Daniel Ahlwes, Börßum, Praktischer Arzt, Arzt"
" Beate Bahl, Pinneberg, Orthopädin und Unfallchirurgin, Ärztin"
" Irina Herlein, Pinneberg, Fachärztin für Innere Medizin, Ärztin"
"Dr. Michael Greiwe, Pinneberg, Chirurg, Arzt"
"Dr. med. Christoph Bauer, Pinneberg, Chirurg, Arzt"
" Katharina Vogel, Pinneberg, Augenärztin, Ärztin"
"Dr. med. Susanne Knees-Matzen, Pinneberg, Hautärztin, Ärztin"
"Dr. med. Guido Csomos, Pinneberg, Facharzt für Innere Medizin, Arzt"
"Dr. med. Anne Stallbaum, Prisdorf, Allgemeinmedizinerin, Ärztin"
"Dr. med. Verena Heidenreich, Pinneberg, Neurologin, Ärztin"
"Dr. med. Christian Franke, Pinneberg, Nuklearmediziner, Arzt"
"Dr. med. Tobias Lange, Pinneberg, Facharzt für Innere Medizin, Arzt"
"Dr. med. Gerd Hüls, Pinneberg, Kinderarzt, Arzt"
"Dr. Christian Thorborg, Pinneberg, Anästhesist, Arzt"
"Dr. med. Christian Nolte, Rellingen, Allgemeinmediziner, Arzt"
" Goulnara Melikhov, Pinneberg, Allgemeinmedizinerin, Ärztin"
" Hauke Groth, Rellingen, Facharzt für Innere Medizin, Arzt"
"Dr. med. Jens Moldenhauer, Pinneberg, Anästhesist, Arzt"
"Dr. med. Olaf Wetegrove, Pinneberg, Chirurg, Arzt"
"Prof. Dr. Ernst-Peter Horn, Pinneberg, Anästhesist, Arzt"
"Dr. med. Thomas Weber, Pinneberg, Facharzt für Innere Medizin, Arzt"
"PD Dr. med. Thomas Hofmann, Rellingen, Facharzt für Innere Medizin, Arzt"
"Dr. med. Ralph Guderjahn, Appen, Allgemeinmediziner, Arzt"
"Dr. med. Karl-Heinz Langenbach, Pinneberg, Allgemeinmediziner, Arzt"
"Dr. med. Frank Goebels, Pinneberg, Orthopäde, Arzt"
"Dr. med. Susanne Pawlow-Handt, Wolfenbüttel, Fachärztin für Innere Medizin, Ärztin"
"Dr. med. Klaus-Ulrich Bühler, Pinneberg, Orthopäde, Arzt"
"Dr. med. Jens Nissen, Pinneberg, Frauenarzt, Arzt"
"Dr. med. Matthias Bauermeister, Pinneberg, Urologe, Arzt"
" Dietrich Eitze, Borstel-Hohenraden, Praktischer Arzt, Arzt"
"Dr. med. Ludger Iske, Eutin, Facharzt für Innere Medizin, Arzt"
"Dr. med. Alexandra Zuske-Matthäus, Eutin, Fachärztin für Innere Medizin, Ärztin"
"Dr. med. Dirk Hartz, Eutin, Orthopäde, Arzt"
"Dr. med. Hans-Dieter Trepkau, Ahrensbök, Allgemeinmediziner, Arzt"
"Dr. med. Jürgen Kuhnert, Eutin, Allgemeinmediziner, Arzt"
" Reimar Busse, Eutin, Allgemeinmediziner, Arzt"
"Dr. med. Johann Meins, Eutin, Facharzt für Innere Medizin, Arzt"
"Dr. Hilke Wendt, Eutin, Frauenärztin, Ärztin"
"Dr. med. Peter Schüthe, Eutin, Anästhesist, Arzt"
"Dr. med. Gotthard Bernegger, Eutin, Allgemeinmediziner, Arzt"
"Dr. med. Stephan Flader, Eutin, Anästhesist, Arzt"
"Dr. med. Christoph Rachstein, Eutin, Chirurg, Arzt"
"Dr. med. Heike Mielck, Plön, Allgemeinmedizinerin, Ärztin"
"Dr. med. Tim-Hendric Hümme, Eutin, Radiologe, Arzt"
"Dr. med. Stephan Koch, Eutin, Facharzt für Innere Medizin, Arzt"
"Dr. med. Stefan Jonas, Eutin, Kinderarzt, Arzt"
" Martina Schumann-Witt, Eutin, Fachärztin für Psychosom. Med.u.Psychotherap., Ärztin"
" Heike Koeller-Viethen, Eutin, Praktische Ärztin, Ärztin"
"Dr. med. Christine Petersen, Ahrensbök, Allgemeinmedizinerin, Ärztin"
" Burkhard Rudolph, Eutin, Facharzt für Innere Medizin, Arzt"
" Andrea Hasse, Eutin, Frauenärztin, Ärztin"
"Dr. med. Regine Hegerfeld, Eutin, Frauenärztin, Ärztin"
"PD Dr. med. Thomas Schang, Nehmten, Chirurg, Arzt"
" Ralf Sehrt, Plön, Allgemeinmediziner, Arzt"
"Dr. med. Bettina Schultz, Eutin, Frauenärztin, Ärztin"
" Michael Kittel, Eutin, Allgemeinmediziner, Arzt"
"Dr. med. Matthias Botzet, Bosau, Allgemeinmediziner, Arzt"
" Eckardt Kibbel, Bosau, Allgemeinmediziner, Arzt"
"Dr. med. Knut Kibbel, Bosau, Allgemeinmediziner, Arzt"
"Dipl. - Med. Frank-Peter Zimmermann, Friesoythe, Allgemeinmediziner, Arzt"
" Sandra Krehmeier, Garrel, Allgemeinmedizinerin, Ärztin"
" Irina Trofimtschuk, Friesoythe, Frauenärztin, Ärztin"
" Nicolas Baron, Friesoythe, Radiologe, Arzt"
"Dr. Moulay Abderrahmane Rachidi, Garrel, HNO Arzt, Arzt"
"Dr. med. Ralf Weise, Friesoythe, Chirurg, Arzt"
"Dr. med. Regina Dorn, Friesoythe, Frauenärztin, Ärztin"
"Dr. med. Stephan Brieger, Friesoythe, Frauenarzt, Arzt"
"Dr. med. Michael Renno, Friesoythe, Chirurg, Arzt"
" Igor Trofimtschuk, Friesoythe, Chirurg, Arzt"
"Dr. med. Senta Kim-Giesemann, Friesoythe, Allgemeinmedizinerin, Ärztin"
" Angelika Kliem, Friesoythe, Allgemeinmedizinerin, Ärztin"
"Dr. med. Sebastian Pfahl, Garrel, Kinderarzt, Arzt"
" Marion Dierken, Friesoythe, Allgemeinmedizinerin, Ärztin"
"Dr. med. Corinna Drebenstedt, Friesoythe, Fachärztin für Innere Medizin, Ärztin"
"Dr. med. Annette Gründing, Friesoythe, Fachärztin für Innere Medizin, Ärztin"
" Johannes Tüting, Friesoythe, Allgemeinmediziner, Arzt"
" Alexis Philipp, Friesoythe, Facharzt für Innere Medizin, Arzt"
"Dr. med. Katrin Witte-Terwelp, Friesoythe, HNO Ärztin, Ärztin"
"Dr. med. Robert Hayduk, Friesoythe, Facharzt für Innere Medizin, Arzt"
"Dr. med. Thorsten Pancratz, Friesoythe, Allgemeinmediziner, Arzt"
"Dr. med. Herbert Kellermann, Friesoythe, Facharzt für Innere Medizin, Arzt"
"Dr. med. Silke Goubeaud, Garrel, Allgemeinmedizinerin, Ärztin"
"Dipl. - Med. Frank-Peter Zimmermann, Bösel, Allgemeinmediziner, Arzt"
" Galina Diegner, Bösel, Allgemeinmedizinerin, Ärztin"
" Fridtjof Heidorn, Bösel, Kinderarzt, Arzt"
"Dr. med. Markus Borgemeister, Bösel, Allgemeinmediziner, Arzt"
"Dipl. - Med. Holger Meister, Bösel, Allgemeinmediziner, Arzt"
"Dr. med. Markus Arens, Bösel, Facharzt für Innere Medizin, Arzt"
"Dr. med. Antje Frank, Oelsnitz/Vogtland, Fachärztin für Innere Medizin, Ärztin"
" Claudia Stein, Oelsnitz/Vogtland, Allgemeinmedizinerin, Ärztin"
"Dr. med. Yvette Henze-Kupfer, Oelsnitz/Vogtland, Frauenärztin, Ärztin"
"Dr. med. Ralf Reuter, Weischlitz, Allgemeinmediziner, Arzt"
" Torsten Pflug, Oelsnitz/Vogtland, Facharzt für Innere Medizin, Arzt"
"Dr. med. Detlef Schlott, Oelsnitz/Vogtland, Chirurg, Arzt"
"Dr. med. Anke Engelmann, Leipzig, Allgemeinmedizinerin, Ärztin"
" Jürgen Morich, Hornburg, Allgemeinmediziner, Arzt"
"Dr. med. Horst Reuter, Weischlitz, Allgemeinmediziner, Arzt"
"MR Dr. med. Bernd Lachmann, Oelsnitz/Vogtland, Neurologe, Arzt"
"Dipl. - Med. Bringfried Zimmer, Oelsnitz/Vogtland, HNO Arzt, Arzt"
"Dr. med. Hans Peter Thurau, Oelsnitz/Vogtland, Chirurg, Arzt"
"Dr. med. Sieghart Schmidt, Oelsnitz/Vogtland, Frauenarzt, Arzt"
"Dipl. - Med. Angela Lange, Weischlitz, Allgemeinmedizinerin, Ärztin"
"Dr. med. Dietmar Putzke, Oelsnitz/Vogtland, Orthopäde und Unfallchirurg, Arzt"
"Dr. med. Claus Meisel, Oelsnitz/Vogtland, Hautarzt, Arzt"
"Dipl. - Med. Monika Egerland, Oelsnitz/Vogtland, Allgemeinmedizinerin, Ärztin"
" Simone Leucht, Oelsnitz/Vogtland, Allgemeinmedizinerin, Ärztin"
"Dr. med. Iris Stelzer-Roller, Feilitzsch, Praktische Ärztin, Ärztin"
" Peter Zill, Oelsnitz/Vogtland, Augenarzt, Arzt"
"Dipl. - Med. Ulf Unger, Oelsnitz/Vogtland, Urologe, Arzt"
"Dipl. - Med. Holger Otto, Oelsnitz/Vogtland, Allgemeinmediziner, Arzt"
" Anne-Dorit Wimmer, Oelsnitz/Vogtland, Fachärztin für Innere Medizin, Ärztin"
"Dr. med. Bernd Kupfer, Oelsnitz/Vogtland, Frauenarzt, Arzt"
"Dr. med. Thomas Fischer, Oelsnitz/Vogtland, Anästhesist, Arzt"
"Dr. med. Lisa Leucht, Oelsnitz/Vogtland, Praktische Ärztin, Ärztin"
"Dipl. - Med. Gabriele Schönekerl, Triebel/Vogtl., Allgemeinmedizinerin, Ärztin"
"Dipl. - Med. Gabriele Schönekerl, Bösenbrunn, Allgemeinmedizinerin, Ärztin"
"Dr. med. Thomas Friedrich, Oberndorf am Neckar, Orthopäde und Unfallchirurg, Arzt"
"Dr. med. Andreas Ecke, Rottweil, Facharzt für Innere Medizin, Arzt"
"Prof. Dr. med. Markus Kröber, Rottweil, Orthopäde und Unfallchirurg, Arzt"
"Dr. med. Ergun Seyhoglu, Oberndorf am Neckar, Allgemeinmediziner, Arzt"
"Dr. med. Kai Mehlhase, Rottweil, Chirurg, Arzt"
"Dr. med. Berthold Lueg, Oberndorf am Neckar, Chirurg, Arzt"
"Dr. med. Michael Rath, Rottweil, Allgemeinmediziner, Arzt"
"Dr. med. Joachim Balke, Oberndorf am Neckar, Facharzt für Innere Medizin, Arzt"
"Dr. med. Siegfried Riek, Rottweil, Frauenarzt, Arzt"
" Gratiela Buta, Schramberg, Allgemeinmedizinerin, Ärztin"
"Dr. med. Stephan Roller, Feilitzsch, Facharzt für Innere Medizin, Arzt"
"Dr. med. Herbert Huber, Rottweil, Allgemeinmediziner, Arzt"
" Elisabeth Karr, Rottweil, Psychiatrie u.Psychotherapie, Ärztin"
" Michael Dusold, Rottweil, Allgemeinmediziner, Arzt"
"Dr. med. Kilian Lilienfein, Rottweil, Orthopäde, Arzt"
"Dr. med. Hildegund Dürr, Oberndorf am Neckar, Allgemeinmedizinerin, Ärztin"
"Dr. med. Levente Urbancsek, Rottweil, Frauenarzt, Arzt"
"Dipl. - Med. Birgit Günther, Oelsnitz/Vogtland, HNO Ärztin, Ärztin"
"Dr. med. Ruth Homolka, Rottweil, Psychiatrie u.Psychotherapie, Ärztin"
"Dr. med. Dan-Rodin Florea, Rottweil, HNO Arzt, Arzt"
" Alessandro Salama, Rottweil, Urologe, Arzt"
"Dr. med. Raimund Gaus, Rottweil, Chirurg, Arzt"
"Dr. med. Leon Darwisch, Oberndorf am Neckar, Facharzt für Innere Medizin, Arzt"
"Dr. med. Joachim Kiehne, Rottweil, Kinderarzt, Arzt"
"Dr. med. Kai-Ulrich Mauch, Villingendorf, Facharzt für Innere Medizin, Arzt"
"Dr. med. Eva-Maria Mauch, Villingendorf, Allgemeinmedizinerin, Ärztin"
"Dr. med. Andreas Mink, Villingendorf, Allgemeinmediziner, Arzt"
"Dr. med. Oliver Haas, Epfendorf, Praktischer Arzt, Arzt"
"Dr. med. Frank Overmeyer, Bösingen, Facharzt für Innere Medizin, Arzt"
"Dr. med. Wolfgang Steffen, Rottweil, Facharzt für Innere Medizin, Arzt"
" Jochen Dieckert, Aachen, Frauenarzt, Arzt"
"Dr. med. Rita Rothmaler, Plön, Praktische Ärztin, Ärztin"
"Dr. med. Walter Dallacker, Schladen, Frauenarzt, Arzt"
"Dr. med. Norbert Heide, Zschopau, Anästhesist, Arzt"
"Dr. med. Thomas Wolf, Zschopau, Strahlentherapeut, Arzt"
"Dr. med. Ulrike Frohn, Hamburg, Fachärztin für Innere Medizin, Ärztin"
"Dr. med. Bernd Hoffmann, Rickling, Psychiatrie u.Psychotherapie, Arzt"
"Dr. med. Wolfram Schreiber, Rickling, Psychiatrie u.Psychotherapie, Arzt"
"Dr. med. Ernst-Artur Schulz, Bornheim, Allgemeinmediziner, Arzt"
"Dr. med. Jürgen Kauffmann, Bornheim, Facharzt für Innere Medizin, Arzt"
" Faris Gameel, Ahrenshoop, Orthopäde und Unfallchirurg, Arzt"
" Ingrid Kubasch, Ahrenshoop, Strahlentherapeutin, Ärztin"
" Valery Gisselle Rivas Rosado, Borkum, Allgemeinmedizinerin, Ärztin"
" Gerd Wolzen, Borkum, Facharzt für Innere Medizin, Arzt"
"Dr. med. Doreen Gruber, Beelitz, Neurologin, Ärztin"
"Dr. med. Christina Kölmel, Beelitz, Neurologin, Ärztin"
"Dr. med. Anna Christine Gorsler, Beelitz, Neurologin, Ärztin"
"Dr. med. Tamara Schmidt, Beelitz, Neurologin, Ärztin"
" Katharina Goossens, Beelitz, Neurologin, Ärztin"
"Dr. med. Andreas Niedeggen, Beelitz, Chirurg, Arzt"
"Dr. med. Jörg Leu, Beelitz, Augenarzt, Arzt"
"Dr. med. Christine Proske, Beelitz, Fachärztin für Neurochirurgie, Ärztin"
" Rita Hinze, Beelitz, Augenärztin, Ärztin"
"Dr. med. Sabine Schildhauer, Beelitz, HNO Ärztin, Ärztin"
"Dipl. - Med. Frank Schielicke, Beelitz, Facharzt für Innere Medizin, Arzt"
"Dr. med. Bärbel Heimrich, Beelitz, Frauenärztin, Ärztin"
" Lars Bräsicke, Beelitz, Neurologe, Arzt"
"PD Dr. med. Georg Ebersbach, Beelitz, Neurologe, Arzt"
"Dipl. - Med. Dagmar Trebuth, Beelitz, Kinderärztin, Ärztin"
"Prof. Dr. med. Christoph Arens, Magdeburg, HNO Arzt, Arzt"
" Sven Schubert, Sülzetal, Facharzt für Innere Medizin, Arzt"
"Dr. med. Kerstin Benecke, Bördeland, Fachärztin für Innere Medizin, Ärztin"
" Anke Bischoff, Sülzetal, Fachärztin für Innere Medizin, Ärztin"
" Sven Schubert, Sülzetal, Facharzt für Innere Medizin, Arzt"
"Dr. med. Uwe Leipold-Büttner, Sülzetal, Allgemeinmediziner, Arzt"
"Dr. med. Christiane Rössner, Wolmirsleben, Allgemeinmedizinerin, Ärztin"
"Dr. med. Wolfgang Rössner, Wolmirsleben, Allgemeinmediziner, Arzt"
" Anke Bischoff, Sülzetal, Fachärztin für Innere Medizin, Ärztin"
"Dr. med. Uwe Seidlitz, Sülzetal, Allgemeinmediziner, Arzt"
"Dipl. - Med. Petra Sens, Egeln, Kinderärztin, Ärztin"
"Dr. med. Hansgerd Höschel, Staßfurt, Allgemeinmediziner, Arzt"
"Dr. med. Veikko Ziegler, Taucha, Orthopäde, Arzt"
"Dr. med. Wolfgang Sens, Egeln, Facharzt für Innere Medizin, Arzt"
" Jörg Rössner, Egeln, Allgemeinmediziner, Arzt"
"Dr. med. Ute Herbert, Staßfurt, Allgemeinmedizinerin, Ärztin"
"Dipl. - Med. Karola Schladitz, Hecklingen, Allgemeinmedizinerin, Ärztin"
"Dipl. - Med. Katrin Oder, Staßfurt, Allgemeinmedizinerin, Ärztin"
"Dr. med. Heike Schlichthaar, Bördeland, Fachärztin für Innere Medizin, Ärztin"
" Catalin-Marian Didu, Staßfurt, Allgemeinmediziner, Arzt"
" Katrin Kräcker, Borna, Allgemeinmedizinerin, Ärztin"
"Dipl. - Med. Margarita Latsouk, Sülzetal, Fachärztin für Innere Medizin, Ärztin"
"Dipl. - Med. Antje Ritter, Borna, Kinderärztin, Ärztin"
"Dr. med. Sven Panzert, Borna, Orthopäde und Unfallchirurg, Arzt"
"Dr. med. Angela Pfeifer, Borna, Allgemeinmedizinerin, Ärztin"
" Alexandra Banczyk, Borna, HNO Ärztin, Ärztin"
" Youssef Barakat, Borna, Urologe, Arzt"
"Dr. med. Andreas Schilling, Borna, Chirurg, Arzt"
"Dr. med. Cornelia Voigt, Borna, Urologin, Ärztin"
"Dr. med. Matthias Schulze, Borna, Frauenarzt, Arzt"
"Dr. med. Antonia Tschakaloff, Pinneberg, Augenärztin, Ärztin"
"Dr. med. Andrea Reich, Borna, Kinderärztin, Ärztin"
"Dr. med. Uwe Halfwassen, Borna, Facharzt für Innere Medizin, Arzt"
"Dr. med. Marion Heruth, Borna, Kinderärztin, Ärztin"
"Dr. med. Axel Goldammer, Borna, Facharzt für Neurochirurgie, Arzt"
"PD Dr. med. Kay Kohlhaw, Borna, Chirurg, Arzt"
"Dr. med. Henry Zimmer, Borna, Facharzt für Innere Medizin, Arzt"
"Dr. med. Ute Trümper, Borna, Frauenärztin, Ärztin"
"Dr. med. Christian Kittel, Borna, Anästhesist, Arzt"
"Dr. med. Axel Hornig, Borna, HNO Arzt, Arzt"
"Dr. med. Jens Einenkel, Borna, Frauenarzt, Arzt"
"PD Dr. med. habil. Hoang Minh Do, Borna, Urologe, Arzt"
" Katharina Schwarzkopf, Borna, Frauenärztin, Ärztin"
"Dr. med. Jochen Helm, Borna, Facharzt für Neurochirurgie, Arzt"
"Dipl. - Med. Antje Ziffert, Borna, Allgemeinmedizinerin, Ärztin"
"Dr. med. Ursula Berndt, Borna, Fachärztin für Innere Medizin, Ärztin"
"Dr. med. Andrea Langner, Borna, Augenärztin, Ärztin"
"Dipl. - Med. Henning Eichler, Borna, Frauenarzt, Arzt"
"Dr. med. Rudolf Jakobi, Borna, Allgemeinmediziner, Arzt"
"Dr. med. Brigitte Rönsch, Borna, Allgemeinmedizinerin, Ärztin"
"Dipl. - Med. Kerstin Zettl, Egeln, Frauenärztin, Ärztin"
"Dr. med. Christos Trantakis, Borna, Facharzt für Neurochirurgie, Arzt"
"Dipl. - Med. Sabine Hildebrandt, Sülzetal, Frauenärztin, Ärztin"
" Luminita-Anca Leucus, Staßfurt, Fachärztin für Innere Medizin, Ärztin"
"Dr. med. Christiane Rössner, Unseburg, Allgemeinmedizinerin, Ärztin"
"Dr. med. Patrick Wuhrer, Zimmern ob Rottweil, Allgemeinmediziner, Arzt"
"Dr. med. Hans-Jürgen Groh, Staßfurt, Allgemeinmediziner, Arzt"
"Dr. med. Christiane Rössner, Borne, Allgemeinmedizinerin, Ärztin"
"Dr. med. Wolfgang Rössner, Borne, Allgemeinmediziner, Arzt"
"Dr. med. Christian Wilke, Beelitz, Neurologe, Arzt"
"Dipl. - Med. Hagen Salitter, Beelitz, Allgemeinmediziner, Arzt"
"Dipl. - Med. Kathrin Lohse, Beelitz, Fachärztin für Innere Medizin, Ärztin"
"Dipl. - Med. Ramona Wendland, Beelitz, Allgemeinmedizinerin, Ärztin"
"Dr. med. Jarmila Pasch, Beelitz, Fachärztin für Innere Medizin, Ärztin"
"Dr. med. Olaf Lück, Beelitz, Neurologe, Arzt"
" Will Nelson Vance, Beelitz, Urologe, Arzt"
" Kerstin Müller, Borkum, Fachärztin für Innere Medizin, Ärztin"
" Helena Valatka, Borkum, Allgemeinmedizinerin, Ärztin"
" Jadranka Ervojic, Borkum, Allgemeinmedizinerin, Ärztin"
" Thomas Kulka, Beelitz, Neurologe, Arzt"
"Dr. med. Bettina von Stuckrad, Borkum, Frauenärztin, Ärztin"
"Dr. med. Sabine Jendrosch, Borkum, Fachärztin für Psychosom. Med.u.Psychotherap., Ärztin"
"Dr. med. Reinhold Müller, Borkum, Facharzt für Innere Medizin, Arzt"
"Dr. med. Ralf-Harald Gonschewski, Borkum, Frauenarzt, Arzt"
"Dr. med. Christoph Zick, Borkum, Hautarzt, Arzt"
" Stefan Karl Förg, Borkum, Facharzt für Innere Medizin, Arzt"
" Sylvia Voss, Borkum, Hautärztin, Ärztin"
" Antje Hansen, Borna, Frauenärztin, Ärztin"
"Dr. med. Olaf Anhenn, Borkum, Facharzt für Innere Medizin, Arzt"
"Dr. med. Ralf-Harald Gonschewski, Borkum, Frauenarzt, Arzt"
"Dr. med. Christoph Zick, Borkum, Hautarzt, Arzt"
"Dr. med. Dr. med. dent. Klaus Peter Droste, Borkum, Mund-Kiefer-Gesichtschirurg, Arzt"
"Dr. med. Monika Harms, Borkum, Allgemeinmedizinerin, Ärztin"
" Meike Thomen, Borkum, Allgemeinmedizinerin, Ärztin"
"Dr. med. Helmer Zühlke, Borkum, Allgemeinmediziner, Arzt"
"Dr. med. Achim Helmut Lauruschkat, Borkum, Hautarzt, Arzt"
"Dr. med. Olaf Juetjens, Borkum, Facharzt für Innere Medizin, Arzt"
" Kerstin Müller, Borkum, Fachärztin für Innere Medizin, Ärztin"
"Dr. med. Robert Weßbecher, Borkum, Hautarzt, Arzt"
" Stefan Karl Förg, Borkum, Facharzt für Innere Medizin, Arzt"
" Elena Rimalis-Vogt, Ahrenshoop, Fachärztin für Innere Medizin, Ärztin"
"Dr. med. Stefan Höthker, Ahrenshoop, Neurologe, Arzt"
"Dr. med. Carmen Kahnke, Ahrenshoop, Allgemeinmedizinerin, Ärztin"
" Petra Bockstaller, Wustrow, Allgemeinmedizinerin, Ärztin"
"Dr. med. Detlev Kasprowski, Prerow, Orthopäde, Arzt"
" Anna Weidlich, Ahrenshoop, Neurologin, Ärztin"
